iso3,iso2,name,capital,continent,region,income_level,year,population,gdp,inflation,female_population,life_expectancy,poverty,fertility,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,infant_mortality_1000,renewables_share,co2_capita,greenhousegas_capita
BFA,BF,Burkina Faso,Ouagadougou,Africa,Sub-Saharan Africa ,Low income,2002,12632269.0,12350171718.4476,3.05698609068348,6396427.0,51.272,,6.339,,,3.17197077379858,11.2,2.97113013,87.5,17.493830545654,0.0813179326691032,15786.33044
PYF,PF,French Polynesia,Papeete,Oceania,East Asia & Pacific,High income,1986,192196.0,,3.68557738734316,91637.0,72.471,,3.714,,,,,,,,,
MNE,ME,Montenegro,Podgorica,Europe,Europe & Central Asia,Upper middle income,1986,607711.0,,,309321.0,74.2454634146342,,2.039,,,,,,20.5,,,
CRI,CR,Costa Rica,San Jose,Americas,Latin America & Caribbean ,Upper middle income,2004,4252800.0,39330432922.4701,13.3503494307268,2114018.0,78.331,4.7,2.078,1.5,,0.0662269262183334,13.9,6.63006067,9.9,99.1965916007304,1.39757336343115,11138.83123
CPV,CV,Cabo Verde,Praia,Africa,Sub-Saharan Africa ,Lower middle income,2016,558394.0,3735546945.72411,1.67992479299215,280659.0,75.742,,2.123,,0.7682,0.102201382609352,23.9,4.84606647,15.7,,0.972252567183745,719.403979
IND,IN,India,New Delhi,Asia,South Asia,Lower middle income,2020,1396387127.0,9101318098423.27,4.74654893260742,675389679.0,70.15,14.7,2.051,,0.7352,0.211163385347433,,2.95919013,26.8,,1.57609323191648,3200820.626
AFG,AF,Afghanistan,Kabul,Asia,South Asia,Low income,2011,29249157.0,51184181904.4289,16.5933467311629,14468875.0,61.419,,5.958,0.44,0.2518,5.57206415212989,4.5,8.56190777,61.8,82.4875621890547,0.408965290862913,32446.46096
AUS,AU,Australia,Canberra,Oceania,East Asia & Pacific,High income,2022,25978935.0,1626940095542.75,7.11473873673272,13079142.0,,,,,,,,,,,,
BHR,BH,Bahrain,Manama,Asia,Middle East & North Africa,High income,2001,730257.0,29346798120.2163,-3.363827919977,299108.0,75.908,,2.664,2.82,1.0636,0.0631064751500024,13.1,3.48573017,10.3,0.0,22.4391139009965,26452.33222
LTU,LT,Lithuania,Vilnius,Europe,Europe & Central Asia,High income,2022,2833000.0,137107832812.952,16.7400356891405,1502383.0,,,,,,,,,,,,
JAM,JM,Jamaica,Kingston,Americas,Latin America & Caribbean ,Upper middle income,1999,2596271.0,16336763407.6229,6.91606081241565,1311392.0,70.968,2.3,2.447,,,,,,18.4,4.8267513996066,3.8464782759581,11671.43032
ESP,ES,Spain,Madrid,Europe,Europe & Central Asia,High income,2004,42921895.0,1122140095653.3,3.88222500847937,21804175.0,79.8707317073171,0.8,1.31,3.4,3.4135,0.0063345109685138,12.9,7.65842772,4.0,18.1346962971531,7.81792835567954,409553.757
FRO,FO,Faroe Islands,Torshavn,Europe,Europe & Central Asia,High income,2019,51681.0,,3.38326684686091,24932.0,82.9463414634147,,2.408,,,,,,,,,
MAR,MA,Morocco,Rabat,Africa,Middle East & North Africa,Lower middle income,2012,33352169.0,246078601804.598,0.533172468011429,16594445.0,71.679,,2.598,0.85,,0.31137964160328,11.8,5.83982801,24.0,8.62996158770807,1.74129604584338,77498.95589
ASM,AS,American Samoa,Pago Pago,Oceania,East Asia & Pacific,High income,2022,44273.0,,,22399.0,,,,,,,,,,,,
CZE,CZ,Czechia,Prague,Europe,Europe & Central Asia,High income,1982,10314826.0,,,5314679.0,70.8078048780488,,2.0,,,,,,13.0,,,
PAK,PK,Pakistan,Islamabad,Asia,South Asia,Lower middle income,1991,119203569.0,252851107253.442,13.4924162584725,57435675.0,60.259,,6.291,0.6521999836,0.48,,,,105.0,44.5588664913818,0.505905993469038,163979.7929
JAM,JM,Jamaica,Kingston,Americas,Latin America & Caribbean ,Upper middle income,2001,2625405.0,17465166962.8206,7.80736940095173,1324943.0,70.758,,2.173,1.5,,0.208747712063978,2.9,5.15652943,17.4,3.45552884615385,3.84180726402212,11794.812
PAN,PA,Panama,Panama City,Americas,Latin America & Caribbean ,High income,2014,3888793.0,92583167738.8291,4.19788931010825,1940824.0,77.248,2.9,2.59,2.24,,0.138939376125664,7.0,7.16729832,15.0,55.7984279099817,2.76643678385556,17600.29831
BRN,BN,Brunei Darussalam,Bandar Seri Begawan,Asia,East Asia & Pacific,High income,2004,360461.0,26536753668.7613,15.8861646575306,171603.0,74.65,,2.086,2.6,1.2883,0.0953458459662747,3.0,2.5552268,7.7,0.0,14.1568713397566,7306.112151
GIN,GN,Guinea,Conakry,Africa,Sub-Saharan Africa ,Lower middle income,2000,8336967.0,10078006490.0547,6.30012395979062,4227368.0,52.479,,5.936,,0.0927,5.86883804398017,7.0,4.74825478,100.6,55.9693318729463,0.179309813748813,11372.67365
XKX,XK,Kosovo,Pristina,,Europe & Central Asia,Upper middle income,1986,1717000.0,,,833934.0,69.587,,4.166,,,,,,113.3,,,
MHL,MH,Marshall Islands,Majuro,Oceania,East Asia & Pacific,Upper middle income,2015,49410.0,201436056.253969,-3.21807348699514,24111.0,63.827,,3.063,,,,,15.33984375,29.2,0.233372228704784,2.96093908115766,187.87681
POL,PL,Poland,Warsaw,Europe,Europe & Central Asia,High income,1992,38363667.0,237598337432.166,38.6254669474972,19690124.0,71.090243902439,,1.95,5.5999999046,2.1919,,,,14.3,1.23807264685852,8.95035398988319,410233.629
COL,CO,Colombia,Bogota,Americas,Latin America & Caribbean ,Upper middle income,1988,31256727.0,,27.7500562450254,15627949.0,68.391,,3.158,,,,,,31.1,,,
BMU,BM,Bermuda,Hamilton,Americas,North America,High income,2008,65273.0,4908095298.74214,5.10891410236363,33533.0,78.623,,1.77,,,,,,,0.0,,
GEO,GE,Georgia,Tbilisi,Asia,Europe & Central Asia,Upper middle income,1994,4836076.0,8369585504.62746,6041.59494933261,2575389.0,68.554,,1.917,9.6758003235,4.899,,,,39.5,61.4296081277213,2.15957317461512,19963.16577
VIR,VI,Virgin Islands (U.S.),Charlotte Amalie,Americas,Latin America & Caribbean ,High income,2016,107516.0,,2.05180352239177,56516.0,79.1682926829268,,2.09,,,,,,,,,
POL,PL,Poland,Warsaw,Europe,Europe & Central Asia,High income,1995,38594998.0,296624484543.394,27.9376478302075,19833831.0,71.8926829268293,,1.62,5.5,2.3251,,,,12.6,1.42656995665562,8.80953018834202,405438.7558
SEN,SN,Senegal,Dakar,Africa,Sub-Saharan Africa ,Lower middle income,1989,7321832.0,,2.17022646198564,3679525.0,56.438,,6.479,0.523999989032745,,,,,72.4,,,
NRU,NR,Nauru,Yaren District,Oceania,East Asia & Pacific,High income,1997,10363.0,,,5022.0,59.644,,3.778,,,,,,38.0,0.0,9.88130850139921,106.838175
LAO,LA,Lao PDR,Vientiane,Asia,East Asia & Pacific,Lower middle income,2004,5768167.0,13385381469.9558,10.6904285434965,2873441.0,60.293,,3.808,,0.3532,1.86794475200406,8.0,3.54057336,66.1,100.0,0.209981784507973,9280.809493
COG,CG,"Congo, Rep.",Brazzaville,Africa,Sub-Saharan Africa ,Lower middle income,1991,2452675.0,8659871532.46294,-1.48063569515986,1245051.0,55.243,,5.16,,,,,,60.5,100.0,1.30201514672755,10133.99793
ASM,AS,American Samoa,Pago Pago,Oceania,East Asia & Pacific,High income,2009,55366.0,,25.776397515528,27406.0,,,,,,,,,,0.0,,
GHA,GH,Ghana,Accra,Africa,Sub-Saharan Africa ,Lower middle income,2012,26858762.0,131005819816.779,15.2052787396605,13470314.0,62.081,25.7,4.183,,0.0956,1.30502451576189,13.7,4.00803423,43.8,67.1240851630073,0.479415246317012,26905.38139
TUN,TN,Tunisia,Tunis,Africa,Middle East & North Africa,Lower middle income,2007,10580395.0,98964336946.9828,2.12647656280636,5305565.0,75.072,,1.989,1.76,1.0242,0.109406218364216,4.8,5.17542839,17.2,0.669626610379212,2.39751918524781,36298.91028
AFG,AF,Afghanistan,Kabul,Asia,South Asia,Low income,1998,18493132.0,,,9217591.0,52.943,,7.642,,,,,,95.6,74.4360902255639,0.0712697016384245,15063.73502
BIH,BA,Bosnia and Herzegovina,Sarajevo,Europe,Europe & Central Asia,Upper middle income,1995,3750527.0,4376862882.45483,8.84743319022225,1928002.0,70.284,,1.676,,,,,,11.8,82.7766416723472,0.898399078316194,6284.221368
NAM,,Namibia,Windhoek,Africa,Sub-Saharan Africa ,Upper middle income,1986,1127989.0,,10.0829328780771,583377.0,59.555,,5.767,,,,,,55.4,,,
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,1985,26785.0,,2.85520116074038,13494.0,,,,,,,,,,,,
SGP,SG,Singapore,Singapore,Asia,East Asia & Pacific,High income,1983,2681061.0,,3.17143964984059,1317817.0,73.0365853658537,,1.61,,,,,,9.9,,,
UKR,UA,Ukraine,Kiev,Europe,Europe & Central Asia,Lower middle income,1982,50384000.0,,,27304925.0,68.8756829268293,,1.98,12.3577995300293,3.741,,,,20.7,,,
TUR,TR,Turkiye,Ankara,Asia,Europe & Central Asia,Upper middle income,2018,82809304.0,2302309630959.02,16.4758182074064,41271565.0,77.563,0.0,2.054,2.85,1.8597,0.0352240403830894,3.4,4.12363815,9.2,,5.00078952480992,503525.2445
SVK,SK,Slovak Republic,Bratislava,Europe,Europe & Central Asia,High income,2007,5374622.0,114076692457.178,1.1155436660847,2761765.0,74.2073170731707,0.4,1.27,6.78,3.3747,0.0100599269932076,24.7,7.17735338,6.4,17.6896601175964,6.91961220714685,45149.44878
MKD,MK,North Macedonia,Skopje,Europe,Europe & Central Asia,Upper middle income,1983,1974441.0,,,973818.0,69.4826829268293,,2.402,5.3383002281189,,,,,47.6,,,
ATG,AG,Antigua and Barbuda,Saint John's,Americas,Latin America & Caribbean ,High income,1994,67072.0,929436515.520714,3.24458799836333,34974.0,73.591,,2.069,,,,,,12.4,0.0,3.3575858778626,399.843404
ESP,ES,Spain,Madrid,Europe,Europe & Central Asia,High income,1997,40057389.0,717536155383.166,2.355985604347,20441310.0,78.6041463414634,1.0,1.15,4.1999998093,2.8691,,,,4.9,19.5461730823116,6.20617334794337,317961.2573
WSM,WS,Samoa,Apia,Oceania,East Asia & Pacific,Lower middle income,2001,185530.0,610786811.793729,3.36684864796393,89110.0,71.019,,4.465,,,0.352562834693263,20.2,3.93347716,17.6,44.4949954504095,0.876408128065542,463.410919
MAR,MA,Morocco,Rabat,Africa,Middle East & North Africa,Lower middle income,1987,23279935.0,,3.01480842265075,11650961.0,60.711,,4.538,,0.217,,,,71.2,,,
ASM,AS,American Samoa,Pago Pago,Oceania,East Asia & Pacific,High income,1992,50078.0,,,24422.0,,,,,,,,,,0.0,,
CPV,CV,Cabo Verde,Praia,Africa,Sub-Saharan Africa ,Lower middle income,2000,458251.0,1416212062.77726,-7.90110346118242,235732.0,68.618,,3.539,,,0.511962755627567,19.7,4.43401194,31.0,5.39543778172381,0.667319874915712,462.267673
KGZ,KG,Kyrgyz Republic,Bishkek,Asia,Europe & Central Asia,Lower middle income,2004,5104700.0,11961118334.2619,5.10869479012241,2614934.0,68.1536585365854,11.6,2.6,5.14,2.561,0.231113778410027,20.9,6.20281315,35.5,85.8794003038109,1.08878092738065,10632.25813
CYP,CY,Cyprus,Nicosia,Asia,Europe & Central Asia,High income,2010,1129686.0,27795810447.9817,1.88028235720469,563093.0,79.665,0.0,1.438,3.57,2.1562,0.0373231231630978,8.4,6.51767111,2.9,1.37166478767381,6.9916773333475,9208.664533
SGP,SG,Singapore,Singapore,Asia,East Asia & Pacific,High income,2009,4987573.0,330238767103.929,2.95392464373782,2406590.0,81.2414634146342,,1.22,,1.6758,0.0087514071633192,14.4,3.39853096,2.3,1.29826008881555,7.78571060513801,52195.79653
TCA,TC,Turks and Caicos Islands,Grand Turk,Americas,Latin America & Caribbean ,High income,1983,8758.0,,,4359.0,68.634,,4.137,,,,,,17.5,,,
ABW,AW,Aruba,Oranjestad,Americas,Latin America & Caribbean ,High income,1987,64450.0,,3.59197006924308,32904.0,72.789,,2.307,,,,,,,,,
BLR,BY,Belarus,Minsk,Europe,Europe & Central Asia,Upper middle income,2004,9730146.0,82627376602.6378,22.6751224510942,5207144.0,68.9560975609756,1.3,1.233,10.71,,0.0111758061907929,75.6,5.73709631,7.3,0.108939442486383,5.72996540853549,85337.90331
LVA,LV,Latvia,Riga,Europe,Europe & Central Asia,High income,2005,2238799.0,31150317379.25,11.199010819183,1219037.0,71.3560975609756,2.4,1.39,7.9,2.9432,0.0386622116778955,45.9,5.83247328,8.6,69.5882592743579,3.44604406201718,11874.26318
MOZ,MZ,Mozambique,Maputo,Africa,Sub-Saharan Africa ,Low income,1994,14912873.0,4851918428.31128,49.8993983248894,7638748.0,45.606,,5.958,,,,,,150.4,92.6582278481013,0.0735525609317534,20322.51059
XKX,XK,Kosovo,Pristina,,Europe & Central Asia,Upper middle income,1993,1965000.0,,,959862.0,71.817,,2.728,,,,,,72.7,0.0,,
LCA,LC,St. Lucia,Castries,Americas,Latin America & Caribbean ,Upper middle income,1980,121633.0,,,62278.0,67.7,,4.703,,,,,,25.3,,,
JAM,JM,Jamaica,Kingston,Americas,Latin America & Caribbean ,Upper middle income,2013,2773129.0,24136041839.9217,8.41581565660749,1397059.0,73.412,,1.636,1.66,0.4677,0.155306204081101,3.1,4.95443439,13.7,9.84222389181067,2.66929522571795,8860.981507
LSO,LS,Lesotho,Maseru,Africa,Sub-Saharan Africa ,Lower middle income,2015,2118521.0,6336395992.14007,10.2024527829635,1075264.0,51.101,,3.264,,,2.46461901060093,147.3,8.95958614,63.2,100.0,1.01212119209581,3835.802779
SSD,SS,South Sudan,Juba,Africa,Sub-Saharan Africa ,Low income,1997,5589410.0,,,2880060.0,32.242,,7.965,,,,,,123.1,0.0,0.0804649483576979,41981.25047
CYM,KY,Cayman Islands,George Town,Americas,Latin America & Caribbean ,High income,1994,31418.0,,,15995.0,,,,,,,,,,0.0,,
RWA,RW,Rwanda,Kigali,Africa,Sub-Saharan Africa ,Low income,2010,10309031.0,13556714123.6435,3.18698591301163,5319801.0,62.54,59.2,4.532,,0.055,1.79381268792421,9.1,8.08923531,44.1,39.9501956599075,0.0682585977285353,4890.541827
PSE,PS,West Bank and Gaza,,Asia,Middle East & North Africa,Upper middle income,1985,,,,,,,,,,,,,45.7,,,
HKG,HK,"Hong Kong SAR, China",,Asia,East Asia & Pacific,High income,1984,5397900.0,,9.6420311852219,2601403.0,76.0292682926829,,1.559,,,,,,,,,
ABW,AW,Aruba,Oranjestad,Americas,Latin America & Caribbean ,High income,1995,77050.0,2095198112.56924,3.37583749127457,39724.0,73.349,,2.19,,1.12,,,,,0.0,,
ROU,RO,Romania,Bucharest,Europe,Europe & Central Asia,High income,2007,20882982.0,286131171243.612,15.8162274724437,10767349.0,72.5658536585366,5.3,1.45,6.54,2.2915,0.0353698212096163,19.4,5.02223349,12.9,25.949767321194,4.63193427068988,126730.562
ETH,ET,Ethiopia,Addis Ababa,Africa,Sub-Saharan Africa ,Low income,2010,89237791.0,90132134553.8849,1.44457231740674,44321299.0,59.73,30.8,5.217,,,3.3186113774456,9.7,5.46637249,54.4,99.3775100401606,0.0725387745198668,116922.7292
MUS,MU,Mauritius,Port Louis,Africa,Sub-Saharan Africa ,Upper middle income,2006,1233996.0,15531979709.3714,11.0431197806926,619575.0,72.4321951219512,0.3,1.77,,1.14,0.0741857149105313,14.3,3.65428853,13.2,22.2553191489362,2.67764239106124,5269.332648
HRV,HR,Croatia,Zagreb,Europe,Europe & Central Asia,High income,1994,4652024.0,,,2405071.0,71.8034146341463,,1.47,5.9095001221,2.741,,,,9.0,62.0198335803032,3.19538334282024,24152.54296
LVA,LV,Latvia,Riga,Europe,Europe & Central Asia,High income,1991,2650581.0,,,1427819.0,69.0324390243903,,1.86,13.6218996048,3.6128,,,,14.2,58.0262225372077,6.48970923733325,24033.09027
ABW,AW,Aruba,Oranjestad,Americas,Latin America & Caribbean ,High income,1984,64174.0,,,32886.0,72.251,,2.342,,,,,,,,,
MEX,MX,Mexico,Mexico City,Americas,Latin America & Caribbean ,Upper middle income,2020,125998302.0,2333740822485.47,4.16727410061226,64410851.0,70.133,3.1,1.905,,,0.121860330518605,,6.2421484,11.8,,3.04076637477226,592321.1717
MNE,ME,Montenegro,Podgorica,Europe,Europe & Central Asia,Upper middle income,2008,616969.0,8524390887.236,7.62912580438491,316886.0,75.1365853658537,,1.89,3.93,2.1117,0.0173970506711545,31.2,,7.1,54.4200848656294,4.36537330076552,4497.111529
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,1995,30890.0,,1.79595371006631,15572.0,77.390243902439,,,,,,,,,0.0,6.61060582712852,208.575107
EGY,EG,"Egypt, Arab Rep.",Cairo,Africa,Middle East & North Africa,Lower middle income,2001,72854261.0,421741060119.799,1.86769984691269,35958115.0,68.308,,3.394,2.1,,0.285170390370749,3.9,5.40030336,35.3,18.4325544535434,1.73914879185996,200791.2182
CYM,KY,Cayman Islands,George Town,Americas,Latin America & Caribbean ,High income,1987,23075.0,,,11739.0,,,,,,,,,,,,
MRT,MR,Mauritania,Nouakchott,Africa,Sub-Saharan Africa ,Lower middle income,2020,4498604.0,25248657015.7206,6.62349281480034,2296186.0,64.532,,4.455,,,2.20588977803968,,3.35572982,33.0,,0.855176405836122,14056.36818
ZMB,ZM,Zambia,Lusaka,Africa,Sub-Saharan Africa ,Lower middle income,1983,6291070.0,,18.6293463518053,3239346.0,53.389,,7.022,,0.14,,,,97.8,,,
CYM,KY,Cayman Islands,George Town,Americas,Latin America & Caribbean ,High income,2016,62255.0,4169236840.8779,1.00009178898281,30984.0,,,,,,,,,,,,
EGY,EG,"Egypt, Arab Rep.",Cairo,Africa,Middle East & North Africa,Lower middle income,1984,48676443.0,,8.24745260848205,24214805.0,59.73,,5.239,,,,,,90.2,,,
BMU,BM,Bermuda,Hamilton,Americas,North America,High income,2022,63532.0,6088718343.67496,2.92644545460638,32917.0,,,,,,,,,,,,
OMN,OM,Oman,Muscat,Asia,Middle East & North Africa,High income,2010,2881914.0,153478077729.6,32.0530102539077,1173012.0,76.269,,2.943,1.77,1.9274,0.0627692667615892,10.2,2.82071519,10.1,0.0,16.3350814771017,64023.90219
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,1983,26055.0,,3.2176546802712,13136.0,,,,,,,,,,,,
ERI,ER,Eritrea,Asmara,Africa,Sub-Saharan Africa ,Low income,2014,3323425.0,,,1687076.0,65.6,,4.273,,0.0616,1.72552026502172,18.0,4.05707788,35.0,0.515463917525773,0.178195686678652,5848.573954
GIB,GI,Gibraltar,,Europe,Europe & Central Asia,High income,1999,27695.0,,,13832.0,81.533,,2.041,,,,,,,0.0,,
NCL,NC,New Caledonia,Noum'ea,Oceania,East Asia & Pacific,High income,2015,269460.0,,,134000.0,77.2804878048781,,2.08,,,,,,,14.0947086721567,,
VCT,VC,St. Vincent and the Grenadines,Kingstown,Americas,Latin America & Caribbean ,Upper middle income,2012,108083.0,1194631516.55595,1.09274185566588,52710.0,74.146,,2.12,2.41,0.941,0.109163209264872,6.8,4.45042276,16.8,17.9804372842348,2.22791743382401,323.152683
CRI,CR,Costa Rica,San Jose,Americas,Latin America & Caribbean ,Upper middle income,2011,4679926.0,62759466862.0172,4.5932251410207,2330459.0,79.348,1.8,1.902,1.23,2.3721,0.0505680527965709,11.4,8.12197685,8.9,91.2225386493084,1.5878028840627,13939.11362
RUS,RU,Russian Federation,Moscow,Europe,Europe & Central Asia,Upper middle income,1980,139010000.0,,,74935230.0,67.0339024390244,,1.89,,,,,,22.0,,,
NRU,NR,Nauru,Yaren District,Oceania,East Asia & Pacific,High income,2005,10318.0,41322348.6589784,0.940128649183578,5020.0,58.161,,3.501,,,,,10.30554104,31.3,0.0,6.05737546036053,67.245677
GAB,GA,Gabon,Libreville,Africa,Sub-Saharan Africa ,Upper middle income,1984,833417.0,,12.0102171085344,422427.0,58.894,,5.733,,,,,,67.6,,,
TON,TO,Tonga,Nuku'alofa,Oceania,East Asia & Pacific,Upper middle income,1980,96708.0,,,47382.0,65.961,,5.553,3.44679999351501,0.362,,,,24.7,,,
VEN,VE,"Venezuela, RB",Caracas,Americas,Latin America & Caribbean ,Not classified,2010,28715022.0,476147292318.525,45.9432686985893,14393135.0,72.89,,2.471,,,0.309496233388962,5.8,6.83106947,14.7,67.4900013185075,5.71483455593382,409219.1125
KIR,KI,Kiribati,Tarawa,Oceania,East Asia & Pacific,Lower middle income,1993,79093.0,99940892.510147,5.23872679045094,40036.0,62.321,,4.457,,0.13,,,,60.4,0.0,0.366656973436334,45.819625
ETH,ET,Ethiopia,Addis Ababa,Africa,Sub-Saharan Africa ,Low income,2022,123379924.0,346892741942.674,34.6840099694318,61399749.0,,,,,,,,,,,,
NIC,NI,Nicaragua,Managua,Americas,Latin America & Caribbean ,Lower middle income,2016,6389235.0,35895053010.1119,4.59012158224917,3240784.0,73.256,,2.455,0.93,0.9537,0.212888257702277,7.0,8.04877567,15.2,,0.846846296935392,18544.33805
SLB,SB,Solomon Islands,Honiara,Oceania,East Asia & Pacific,Lower middle income,2010,540394.0,1162884902.66396,1.74527790331425,263369.0,68.732,,4.404,,,0.699452983887629,29.0,4.66139841,22.2,0.0,0.634351972819831,737.518284
KNA,KN,St. Kitts and Nevis,Basseterre,Americas,Latin America & Caribbean ,High income,1990,40636.0,363187191.811843,7.60302634203465,20718.0,65.188,,2.793,9.1999998093,0.6948,,,,25.4,0.0,2.79801161531647,187.607755
ITA,IT,Italy,Rome,Europe,Europe & Central Asia,High income,2015,60730582.0,2240921139199.72,0.931863574759717,31278411.0,82.5439024390244,1.9,1.35,3.2,3.8479,0.0090645720299138,10.9,8.85689163,3.0,38.6792251795342,5.56329428886422,413893.0962
VIR,VI,Virgin Islands (U.S.),Charlotte Amalie,Americas,Latin America & Caribbean ,High income,1987,100901.0,,,52144.0,70.3379024390244,,2.845,,,,,,,,,
AGO,AO,Angola,Luanda,Africa,Sub-Saharan Africa ,Lower middle income,2004,18771125.0,79282432858.8008,33.4435947971776,9545020.0,50.592,,6.499,,0.0621,3.78623062628914,13.6,3.96719909,105.9,78.405017921147,0.929811079517077,67964.75818
CZE,CZ,Czechia,Prague,Europe,Europe & Central Asia,High income,2011,10496088.0,304400911032.007,-0.02057195800937,5343378.0,77.8731707317073,0.0,1.43,7.06,3.6125,0.0051946059228611,27.4,6.92782736,2.6,8.35253987277588,10.5963383691143,132059.1096
BEL,BE,Belgium,Brussels,Europe,Europe & Central Asia,High income,2019,11488980.0,641140448512.658,1.74744321867122,5821746.0,81.9951219512195,0.1,1.6,5.58,3.1495,0.008012389516583,24.9,10.6635952,3.4,,8.09379074556662,108086.3373
GIB,GI,Gibraltar,,Europe,Europe & Central Asia,High income,1981,28819.0,,,14281.0,73.567,,2.725,,,,,,,,,
CMR,CM,Cameroon,Yaounde,Africa,Sub-Saharan Africa ,Lower middle income,1994,12848862.0,22253004111.4927,5.88247234703603,6481175.0,53.528,,6.082,,,,,,89.2,98.8235294117647,0.359510437578052,80763.86015
VGB,VG,British Virgin Islands,Road Town,Americas,Latin America & Caribbean ,High income,2016,29739.0,,,15287.0,75.724,,0.987,,,,,,11.6,,,
USA,US,United States,Washington D.C.,Americas,North America,High income,2019,328329953.0,21380976119000.0,1.79393050089551,165599805.0,78.7878048780488,1.0,1.706,,,0.034318567593978,25.0,16.67647362,5.5,,14.6733807134556,6039739.492
SEN,SN,Senegal,Dakar,Africa,Sub-Saharan Africa ,Lower middle income,2009,12195029.0,32147502659.2341,-1.68903868254876,6198778.0,63.923,,5.081,,,2.52010726834147,10.2,3.841573,44.3,10.2169349195241,0.546632566433421,21029.13048
MMR,MM,Myanmar,Naypyidaw,Asia,East Asia & Pacific,Lower middle income,2015,51483949.0,216277729440.661,8.37489724067422,25808518.0,65.561,6.2,2.248,,,0.576827483742743,5.3,5.47780561,40.7,58.8541014402004,0.369707459697779,104222.8504
TZA,TZ,Tanzania,Dodoma,Africa,Sub-Saharan Africa ,Lower middle income,2004,38360879.0,54862460858.0887,6.88562312967325,19417879.0,55.596,,5.607,,,3.35076174096007,8.3,5.7373414,62.0,60.2456560814859,0.132470895674732,56193.3884
ISL,IS,Iceland,Reykjavik,Europe,Europe & Central Asia,High income,2010,318041.0,12649528506.0775,6.36885446534224,158077.0,81.8975609756097,0.1,2.2,3.58,3.5654,0.0061152210566685,19.7,8.36173058,2.1,99.9882759833519,6.15997308523115,3237.18338
JOR,JO,Jordan,Amman,Asia,Middle East & North Africa,Lower middle income,1998,4844403.0,27181731040.7193,6.00440267503002,2318090.0,71.474,,4.164,,,,,,23.8,0.237212750185322,3.0170900315271,21201.04399
BLR,BY,Belarus,Minsk,Europe,Europe & Central Asia,Upper middle income,1981,9710000.0,,,5195211.0,69.907512195122,,2.02,,,,,,16.5,,,
SWZ,SZ,Eswatini,Mbabane,Africa,Sub-Saharan Africa ,Lower middle income,1994,953737.0,3544158528.31536,10.970426743749,492041.0,58.268,85.4,4.623,,,,,,55.6,48.6873508353222,1.52547295533255,3117.299912
SVK,SK,Slovak Republic,Bratislava,Europe,Europe & Central Asia,High income,1990,5299187.0,,,2711251.0,70.9326829268293,,2.09,7.4482002258,,,,,12.6,7.37341648037024,10.3434357006084,66676.29942
BRA,BR,Brazil,Brasilia,Americas,Latin America & Caribbean ,Upper middle income,2006,188820682.0,2193057535043.85,6.77427411913297,95583318.0,72.037,8.3,1.927,2.48,,0.147005945845437,7.2,8.24952507,20.7,86.7476516501048,1.77747795657257,897365.7002
GRL,GL,Greenland,Nuuk,Americas,Europe & Central Asia,High income,2020,56367.0,,0.703000441093323,26657.0,71.6368292682927,,2.019,,,,,,,,,
BGD,BD,Bangladesh,Dhaka,Asia,South Asia,Lower middle income,2004,138789725.0,265983851337.671,4.5621363796936,68397392.0,67.187,,2.914,,0.2809,1.25999285222664,6.8,2.37531114,51.8,3.03447717052222,0.21995504350196,124837.0782
VIR,VI,Virgin Islands (U.S.),Charlotte Amalie,Americas,Latin America & Caribbean ,High income,2021,105870.0,,,56360.0,80.0682926829268,,2.01,,,,,,,,,
BEL,BE,Belgium,Brussels,Europe,Europe & Central Asia,High income,1981,9858982.0,,5.13919666132385,5041794.0,73.6217073170732,,1.66,,2.4,,,,11.7,,,
ASM,AS,American Samoa,Pago Pago,Oceania,East Asia & Pacific,High income,2012,53691.0,,17.3684210526316,26678.0,,,,,,,,,,0.70242656449553,,
SLV,SV,El Salvador,San Salvador,Americas,Latin America & Caribbean ,Upper middle income,1985,4876757.0,,3.15378065896392,2499574.0,57.025,,4.346,,,,,,59.2,,,
HTI,HT,Haiti,Port-au-Prince,Americas,Latin America & Caribbean ,Lower middle income,2005,9111900.0,21993234854.2396,10.0721321269106,4585537.0,60.415,,3.833,,,1.44094706234274,9.4,3.30554652,65.3,47.6618705035971,0.187095995346744,7822.671543
QAT,QA,Qatar,Doha,Asia,Middle East & North Africa,High income,1996,529265.0,,,176667.0,74.685,,3.5,,1.26,,,,12.5,0.0,39.5682692035181,27852.53805
BLZ,BZ,Belize,Belmopan,Americas,Latin America & Caribbean ,Upper middle income,2003,263998.0,2323121421.33267,-3.71335882284787,130958.0,68.909,,3.321,1.2999999523,,0.290605072691362,10.5,4.58048201,18.5,40.9638554216867,1.70531594936325,930.381295
TUR,TR,Turkiye,Ankara,Asia,Europe & Central Asia,Upper middle income,2020,84135428.0,2332603302328.81,14.8528234526725,41952454.0,75.85,,1.917,,,0.0361792819793737,,4.61794329,8.1,,4.84226692232433,504956.3259
