iso3,iso2,name,capital,continent,region,income_level,year,population,gdp,inflation,female_population,life_expectancy,poverty,fertility,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,infant_mortality_1000,renewables_share,co2_capita,greenhousegas_capita
SEN,SN,Senegal,Dakar,Africa,Sub-Saharan Africa ,Lower middle income,1992,7974514.0,12846810383.9357,-0.827466513277315,4014941.0,57.112,,6.149,,0.068,,,,70.1,4.27756653992395,0.322063513839213,13146.50995
MDA,MD,Moldova,Chisinau,Europe,Europe & Central Asia,Upper middle income,2016,2803186.0,29398801549.1217,3.5508738308871,1469996.0,69.917,0.1,1.89,,,0.0311852120945026,27.9,7.53552246,13.4,,2.90490891435674,12777.28434
XKX,XK,Kosovo,Pristina,,Europe & Central Asia,Upper middle income,2012,1807106.0,14527700968.4461,3.52540365876908,905096.0,78.28,0.8,2.001,,,,,,15.7,1.61534578495709,,
SXM,SX,Sint Maarten (Dutch part),Philipsburg,Americas,Latin America & Caribbean ,High income,2013,36607.0,1188933090.17275,2.41867908660851,17555.0,74.917,,1.862,,,,,,,0.0,,
ALB,AL,Albania,Tirane,Europe,Europe & Central Asia,Upper middle income,1980,2671997.0,,,1286555.0,70.478,,3.614,4.27169990539551,1.367,,,,66.0,,,
GIB,GI,Gibraltar,,Europe,Europe & Central Asia,High income,2020,32709.0,,,16372.0,82.198,,1.855,,,,,,,,,
LKA,LK,Sri Lanka,Colombo,Asia,South Asia,Lower middle income,1988,16773736.0,,10.1170340331736,8282826.0,71.549,,2.565,,,,,,20.2,,,
RWA,RW,Rwanda,Kigali,Africa,Sub-Saharan Africa ,Low income,1992,7657208.0,4416940919.27675,7.28328316450163,3849597.0,44.319,,6.607,,,,,,104.2,97.7272727272727,0.0631496493238789,2654.067045
MKD,MK,North Macedonia,Skopje,Europe,Europe & Central Asia,Upper middle income,2005,2036855.0,15987036515.9264,4.89589936820212,1017633.0,73.6975609756098,,1.5,4.7,2.1317,0.0123255187236087,12.4,7.67907524,12.2,21.49236531259,4.36054603788684,11773.93046
AFG,AF,Afghanistan,Kabul,Asia,South Asia,Low income,1984,10243686.0,,,5074600.0,33.329,,7.513,,,,,,145.5,,,
ESP,ES,Spain,Madrid,Europe,Europe & Central Asia,High income,2012,46773055.0,1483654111796.67,-0.114607765550261,23713604.0,82.4268292682927,0.9,1.32,2.99,3.7999,0.0056569237804448,11.9,9.15419865,2.9,29.5847480115125,5.77854920958231,343393.9951
CHE,CH,Switzerland,Bern,Europe,Europe & Central Asia,High income,1998,7110001.0,240735192583.282,-0.189259059141946,3637528.0,79.3243902439025,,1.47,,3.3389,,,,4.8,54.8568310220853,6.22324806986666,53403.57246
URY,UY,Uruguay,Montevideo,Americas,Latin America & Caribbean ,High income,2013,3381180.0,69130105748.7416,8.99924666884517,1749192.0,77.24,0.2,2.01,2.49,,0.0346117171233139,25.1,8.11897373,8.4,80.8523409363745,2.17604504936147,37423.4523
PRY,PY,Paraguay,Asuncion,Americas,Latin America & Caribbean ,Upper middle income,1991,4167996.0,24337359042.9529,25.1198370187067,2060188.0,68.173,,4.457,,0.813,,,,35.2,99.962522571633,0.484717355774814,29384.46696
KIR,KI,Kiribati,Tarawa,Oceania,East Asia & Pacific,Lower middle income,1992,77901.0,96785195.2885588,5.63079116179614,39440.0,61.893,,4.527,,0.186,,,,62.3,0.0,0.323487503369662,41.715578
TJK,TJ,Tajikistan,Dushanbe,Asia,Europe & Central Asia,Lower middle income,2014,8326348.0,27259901285.7814,4.76666135833671,4149426.0,69.069,,3.459,4.67,1.7229,0.0898052170176694,5.3,6.6654973,33.4,99.0286546867411,0.550493445625862,11819.94477
PYF,PF,French Polynesia,Papeete,Oceania,East Asia & Pacific,High income,2009,282283.0,,1.586850062683,137643.0,80.665,,2.146,,,,,,,29.1068770265034,,
AUT,AT,Austria,Vienna,Europe,Europe & Central Asia,High income,1999,7992324.0,220639956878.73,0.256349694475674,4130055.0,77.8756097560976,0.2,1.34,8.8999996185,3.7613,,,,4.7,70.6789505307431,7.88945743440831,78470.02491
NZL,NZ,New Zealand,Wellington,Oceania,East Asia & Pacific,High income,2014,4516500.0,168435445919.777,0.416130286683241,2304264.0,81.4568292682927,,1.92,2.76,2.8604,0.0138557427109327,17.0,9.40168381,4.7,79.2023905298242,7.07864496844902,82810.63762
VUT,VU,Vanuatu,Port-Vila,Oceania,East Asia & Pacific,Lower middle income,1998,183088.0,372798174.994283,4.59392521380535,89711.0,68.763,,4.575,,,,,,24.6,0.0,0.452241545049375,579.888353
ARE,AE,United Arab Emirates,Abu Dhabi,Asia,Middle East & North Africa,High income,1998,2921130.0,260302316086.279,-4.25444532085106,934014.0,73.066,,2.907,,,,,,10.2,0.0,28.5675748768456,112802.5869
BRB,BB,Barbados,Bridgetown,Americas,Latin America & Caribbean ,High income,1986,258370.0,,4.47349515734055,133467.0,72.568,,1.805,,,,,,18.7,,,
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,1987,27542.0,,2.51954065993667,13881.0,,,,,,,,,,,,
MNP,MP,Northern Mariana Islands,Saipan,Oceania,East Asia & Pacific,High income,2020,49587.0,,3.31509618377719,22956.0,,,,,,,,,,,,
SLV,SV,El Salvador,San Salvador,Americas,Latin America & Caribbean ,Upper middle income,2000,5958482.0,26272540435.5582,3.27263167049688,3088675.0,69.865,12.9,3.14,,,0.183057664240469,9.1,7.84342813,27.4,58.0692922712467,0.94514005412788,10116.5256
LBY,LY,Libya,Tripoli,Africa,Middle East & North Africa,Upper middle income,1991,4341971.0,,,2023299.0,69.82,,4.67,,,,,,33.9,0.0,6.63790707031438,84389.27156
NOR,NO,Norway,Oslo,Europe,Europe & Central Asia,High income,1984,4140099.0,,6.21006186599382,2092287.0,76.2243902439024,,1.66,,2.2,,,,8.2,,,
POL,PL,Poland,Warsaw,Europe,Europe & Central Asia,High income,2019,37965475.0,1327882140981.71,3.03248882205038,19595179.0,77.9048780487805,0.1,1.44,,,0.0026285220536706,20.1,6.44682503,3.8,,7.76885578278686,355380.9081
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,2013,36806.0,,,18585.0,82.2609756097561,,1.45,,,,,,,96.0140679953107,5.23134507960659,207.025486
CRI,CR,Costa Rica,San Jose,Americas,Latin America & Caribbean ,Upper middle income,2010,4622252.0,58889066523.555,6.62884490879507,2301231.0,78.67,1.5,1.928,1.24,2.3057,0.0553738999791389,11.8,8.02937698,9.1,93.3110716894501,1.53723769279563,13252.16003
ASM,AS,American Samoa,Pago Pago,Oceania,East Asia & Pacific,High income,2018,48424.0,,1.69536107125778,24290.0,,,,,,,,,,,,
MWI,MW,Malawi,Lilongwe,Africa,Sub-Saharan Africa ,Low income,2015,16938942.0,24682399884.8098,19.8146692597743,8719776.0,61.378,,4.452,,,2.19740320783212,10.3,6.62879086,38.6,91.3068289899182,0.0643204280409013,8204.93103
JPN,JP,Japan,Tokyo,Asia,East Asia & Pacific,High income,1985,120837000.0,,1.33099428531381,61309541.0,77.5604878048781,,1.76,14.6999998092651,1.5,,,,5.5,,,
LBN,LB,Lebanon,Beirut,Asia,Middle East & North Africa,Lower middle income,2015,6398940.0,98413136246.9354,3.33578445066227,3225226.0,79.229,,2.178,3.37,2.103,0.0472017288783885,3.8,7.39572525,8.1,2.60382691889541,4.2220742810528,32882.9577
COG,CG,"Congo, Rep.",Brazzaville,Africa,Sub-Saharan Africa ,Lower middle income,1996,2816595.0,10026355705.6039,17.9919240267205,1423251.0,53.491,,4.966,,,,,,69.3,99.5633187772926,1.12477654756896,9871.657696
LUX,LU,Luxembourg,Luxembourg,Europe,Europe & Central Asia,High income,1983,365622.0,,6.81868790892469,187772.0,72.7811219512195,,1.43,,1.7,,,,10.1,,,
BHR,BH,Bahrain,Manama,Asia,Middle East & North Africa,High income,1980,362595.0,,,149348.0,70.826,,4.801,3.31439995765686,1.087,,,,26.7,,,
IRQ,IQ,Iraq,Baghdad,Asia,Middle East & North Africa,Upper middle income,2005,28698684.0,268607024791.386,35.8578508536369,14410735.0,64.844,,4.475,1.3,0.66,0.550103876320346,5.1,2.89739943,32.4,19.7368421052632,2.96626493396004,130606.9208
AND,AD,Andorra,Andorra la Vella,Europe,Europe & Central Asia,High income,2019,76343.0,,1.37475350829189,37502.0,,,,,,,,7.40840626,2.8,,6.2872038038851,605.715596
GAB,GA,Gabon,Libreville,Africa,Sub-Saharan Africa ,Upper middle income,2013,1902226.0,27463881944.8317,-6.15792493444491,933066.0,64.776,,4.019,,,0.844878379030497,14.6,2.84087205,37.3,44.9904580152672,3.0439443052508,15166.74369
IRQ,IQ,Iraq,Baghdad,Asia,Middle East & North Africa,Upper middle income,1981,14067260.0,,-27.5225895172734,7072839.0,59.331,,6.514,1.89310002326965,0.568,,,,52.9,,,
ESP,ES,Spain,Madrid,Europe,Europe & Central Asia,High income,1993,39361262.0,589793285440.726,4.53724126311641,20090193.0,77.5465853658537,1.2,1.26,4.4000000954,4.0292,,,,6.3,16.1632537522758,5.54046768114295,276751.248
FJI,FJ,Fiji,Suva,Oceania,East Asia & Pacific,Upper middle income,2017,919019.0,11783674123.9893,1.69845757051993,456092.0,67.79,,2.557,,,0.100759870875922,12.7,3.18689561,21.6,,1.44839225304373,1995.340253
PAN,PA,Panama,Panama City,Americas,Latin America & Caribbean ,High income,2015,3957099.0,104138675834.445,2.47876891776404,1975219.0,77.468,1.5,2.564,2.29,1.5759,0.134698425263788,4.7,7.18962574,14.6,65.3263403263403,2.68123188224505,17486.64482
MNG,MN,Mongolia,Ulaanbaatar,Asia,East Asia & Pacific,Lower middle income,2003,2516454.0,10911272060.0408,10.2365745343768,1265190.0,64.208,,2.051,,,0.222301134938687,37.1,4.10218763,38.9,0.0,3.70050873173124,25981.27137
SDN,SD,Sudan,Khartoum,Africa,Sub-Saharan Africa ,Low income,1986,19887452.0,,28.6425566443022,9749846.0,51.481,,6.425,,0.09,,,,86.7,,,
TTO,TT,Trinidad and Tobago,Port-of-Spain,Americas,Latin America & Caribbean ,High income,2015,1460177.0,40389578658.7098,-8.70230282835035,740577.0,74.503,,1.682,3.01,2.6498,0.0536979458886314,16.2,6.02267027,17.5,0.0,14.5945320327604,32832.58609
BEN,BJ,Benin,Porto-Novo,Africa,Sub-Saharan Africa ,Lower middle income,1988,4831624.0,,-0.610506907481181,2458169.0,52.294,,6.847,,,,,,108.6,,,
CRI,CR,Costa Rica,San Jose,Americas,Latin America & Caribbean ,Upper middle income,2022,5180829.0,129120035924.293,5.7646011791102,2590119.0,,0.9,,,,,,,,,,
CHN,CN,China,Beijing,Asia,East Asia & Pacific,Upper middle income,2010,1337705000.0,12380164949406.0,6.88138025315708,652992671.0,75.599,13.9,1.687,2.47,1.4334,0.0574571135776393,11.7,4.23068333,12.5,18.6228260527723,6.33541976743751,10211636.79
PSE,PS,West Bank and Gaza,,Asia,Middle East & North Africa,Upper middle income,1992,2163591.0,,,1076041.0,68.592,,6.633,,,,,,33.1,0.0,,
IND,IN,India,New Delhi,Asia,South Asia,Lower middle income,1997,1002335230.0,1757179784087.91,6.47627126306148,484031612.0,61.388,,3.514,,,,,,73.5,16.015130807865,0.817360076229187,1574518.527
RWA,RW,Rwanda,Kigali,Africa,Sub-Saharan Africa ,Low income,1981,5441966.0,,7.71070181644291,2728539.0,49.422,,8.156,1.47809994220734,0.031,,,,119.8,,,
TCD,TD,Chad,N'Djamena,Africa,Sub-Saharan Africa ,Low income,2021,17179740.0,27023277956.1471,7.1999883084863,8556210.0,52.525,,6.255,,,,,,66.0,,,
GUY,GY,Guyana,Georgetown,Americas,Latin America & Caribbean ,High income,1998,756697.0,4254923080.41041,2.97009281527207,380072.0,63.9,11.9,3.05,,,,,,38.9,0.585480093676815,2.30951094031032,3470.492252
FSM,FM,"Micronesia, Fed. Sts.",Palikir,Oceania,East Asia & Pacific,Lower middle income,2020,112106.0,409113728.166796,0.808820403806692,55694.0,70.674,,2.754,,0.9391,0.204893243163707,,11.5599966,21.6,,0.958913885073056,194.111345
MLI,ML,Mali,Bamako,Africa,Sub-Saharan Africa ,Low income,2010,15529181.0,26898573459.092,4.36499973505229,7684411.0,56.382,,6.579,0.1,0.1021,3.72672633601411,5.5,4.67866755,78.4,53.7956068791505,0.138706606613704,29096.26959
BEN,BJ,Benin,Porto-Novo,Africa,Sub-Saharan Africa ,Lower middle income,2011,9726380.0,22860459982.9645,3.73308304042652,4876973.0,58.462,54.3,5.366,,0.0577,3.40970283561995,12.7,3.09628081,68.4,0.0,0.478348573672836,10546.27121
BDI,BI,Burundi,Bujumbura,Africa,Sub-Saharan Africa ,Low income,2018,11493472.0,8714914014.28641,-2.85085930198137,5789861.0,61.688,,5.38,,0.097,2.88353754925365,9.3,7.39932251,41.3,,0.057850230113233,4518.56764
MEX,MX,Mexico,Mexico City,Americas,Latin America & Caribbean ,Upper middle income,1995,89969572.0,777809486586.036,38.4646570812515,45831232.0,71.646,,3.038,1.2000000477,1.6536,,,,29.4,23.6502285744312,3.41050972210916,455462.2674
TLS,TL,Timor-Leste,Dili,Asia,East Asia & Pacific,Lower middle income,2014,1184830.0,3195416662.88653,-0.728176514958193,580201.0,66.787,24.4,4.085,,0.6821,1.15017558514773,4.8,7.60483742,52.9,0.0,0.379632521121174,6771.222804
CRI,CR,Costa Rica,San Jose,Americas,Latin America & Caribbean ,Upper middle income,2015,4895242.0,82852849095.4676,3.95521539698855,2440173.0,79.086,1.6,1.79,1.16,2.7318,0.0342348793683423,11.2,7.59196186,7.7,99.0011098779134,1.53984215693524,14296.03177
FSM,FM,"Micronesia, Fed. Sts.",Palikir,Oceania,East Asia & Pacific,Lower middle income,2010,107588.0,336112538.578687,3.60298457333592,53341.0,71.233,,3.236,,,0.158142592882516,37.5,13.10624504,28.4,0.871712915879704,0.977804216083578,174.42145
TLS,TL,Timor-Leste,Dili,Asia,East Asia & Pacific,Lower middle income,1987,707762.0,,,342714.0,35.644,,5.682,,,,,,150.0,,,
TZA,TZ,Tanzania,Dodoma,Africa,Sub-Saharan Africa ,Lower middle income,1996,31140733.0,30851282077.8681,19.3136558427197,15726779.0,50.744,,5.848,,,,,,91.9,86.2783810463968,0.0986007619024254,43409.13642
DEU,DE,Germany,Berlin,Europe,Europe & Central Asia,High income,1996,81914831.0,1972389948857.35,0.602279503049189,42135110.0,76.6731707317073,0.0,1.3,9.6000003815,3.123,,,,5.0,4.82139711743973,11.0399715040613,1064635.361
IRQ,IQ,Iraq,Baghdad,Asia,Middle East & North Africa,Upper middle income,1997,22330770.0,133489234940.348,91.4987978379137,11254162.0,65.837,,5.244,,,,,,37.6,1.91502686311348,5.32494849035658,152200.61
COG,CG,"Congo, Rep.",Brazzaville,Africa,Sub-Saharan Africa ,Lower middle income,2001,3254101.0,12265570086.6584,-13.9252081683231,1642642.0,54.395,,4.712,,,3.02220928564656,17.3,2.18529987,70.4,100.0,1.30404680125171,12697.42119
JOR,JO,Jordan,Amman,Asia,Middle East & North Africa,Lower middle income,2011,7109980.0,72050912802.1938,5.91051095801734,3455782.0,74.189,,3.681,1.8,,0.178965519389461,2.3,8.14807701,16.8,0.450604219294053,2.91931904168507,28261.57121
KOR,KR,"Korea, Rep.",Seoul,Asia,East Asia & Pacific,High income,2010,49554112.0,1572680440074.07,2.73749683726491,24852253.0,80.1170731707317,0.5,1.226,8.74,1.9839,0.00860820114847,44.9,5.91734409,3.5,1.24537463913126,11.6078298406397,645046.5305
CAN,CA,Canada,Ottawa,Americas,North America,High income,1990,27691138.0,560184961451.598,3.3917951611254,13963399.0,77.4365853658537,1.2,1.83,6.0,2.1,,,,6.8,62.3787188226728,15.1489693200763,543049.4519
GRC,GR,Greece,Athens,Europe,Europe & Central Asia,High income,1997,10661259.0,182903285212.716,6.55338076905754,5354717.0,78.1365853658537,,1.27,4.9000000954,3.9455,,,,6.8,9.05017093227386,7.85664244720065,106999.7835
CIV,CI,Cote d'Ivoire,Yamoussoukro,Africa,Sub-Saharan Africa ,Lower middle income,2020,26811790.0,144177570639.82,1.5319983195637,13264169.0,59.032,,4.472,,,2.18571185497155,,3.72245775,57.5,,0.406347356890383,26412.28115
PRK,KP,"Korea, Dem. People's Rep.",Pyongyang,Asia,East Asia & Pacific,Low income,1980,17973650.0,,,9381485.0,66.158,,2.841,,,,,,,,,
NZL,NZ,New Zealand,Wellington,Oceania,East Asia & Pacific,High income,1982,3156100.0,,12.0853467974706,1588800.0,73.7243902439024,,1.95,,1.6,,,,12.1,,,
ERI,ER,Eritrea,Asmara,Africa,Sub-Saharan Africa ,Low income,2016,3365287.0,,,1707716.0,66.289,,4.164,,0.0669,1.69018184333307,17.5,3.518888,33.1,,0.172496431953649,5934.573265
SLV,SV,El Salvador,San Salvador,Americas,Latin America & Caribbean ,Upper middle income,2001,5988095.0,27100751611.516,3.31363165513974,3106305.0,69.598,14.1,2.977,,,0.161556278532086,10.0,7.88604879,26.0,54.1846858305775,0.980044571771156,10759.78866
NZL,NZ,New Zealand,Wellington,Oceania,East Asia & Pacific,High income,2013,4442100.0,160993347759.546,4.15682383584432,2268940.0,81.4048780487805,,2.01,2.78,2.7817,0.0136549299181754,17.6,9.36019325,4.8,74.2581122307479,7.17802390761126,82181.45126
SVN,SI,Slovenia,Ljubljana,Europe,Europe & Central Asia,High income,2014,2061980.0,63653371400.3498,0.456031615681681,1040642.0,81.0780487804878,0.0,1.58,4.54,2.7628,0.0087395384103989,32.8,8.50197601,2.2,38.5189069509992,6.35927603565505,16006.08164
SDN,SD,Sudan,Khartoum,Africa,Sub-Saharan Africa ,Low income,2009,32948155.0,163490408364.716,1.86213189302369,16452670.0,62.644,18.6,5.05,0.73,,2.10173510375679,5.2,6.39496326,52.1,49.7303959328301,0.470141651330704,95545.72207
